Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta
2006-01-02;CALIMA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;132000
2006-01-02;CAMPESTRE (CALARCA);MCAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;700
2006-01-02;CAMPESTRE (EPM);EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;870
2006-01-02;CARACOLI;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2600
2006-01-02;CARTAGENA 1;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;64000
2006-01-02;CARTAGENA 2;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;53000
2006-01-02;CARTAGENA 3;TRIG;TERMICA;COMBUSTOLEO;DESPACHADO CENTRALMENTE;70000
2006-01-02;CASCADA;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3000
2006-01-02;CEMENTOS DEL NARE;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4500
2006-01-02;CENTRAL CASTILLA 1;EPSG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;1000
2006-01-02;CHARQUITO;EMGG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19400
2006-01-02;CHIVOR;CHVG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;1000000
2006-01-02;COCONUCO;EMEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4500
2006-01-02;COGENERADOR BIOAISE 1;BIOG;COGENERADOR;GAS;NO DESPACHADO CENTRALMENTE;1000
2006-01-02;DOLORES;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;8300
2006-01-02;EL BOSQUE;EPAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2280
2006-01-02;EL LIMON;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;720
